,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
241,g-z-r-a,g-z-e_flt-r,g-zj-e-r,0.014492753623188404,0.000355723865375
242,zj-i-g-m-a,zj-i-g-o_flt-m,zj-i-g-o-m,0.14285714285714288,0.6666666666666666
243,g-m-a,g-e_flt-m,gj-e-m,0.038461538461538464,0.4737447680116982
244,g-m-a,g-e_flt-m,gj-e-m,0.038461538461538464,0.4737447680116982
245,g-m-a,g-e_flt-m,gj-e-m,0.038461538461538464,0.4737447680116982
246,g-m-a,g-o_flt-m,g-o-m,0.04999999999999999,0.6666666666666666
247,tj-i-g-m-a,tj-i-g-e_flt-m,tj-i-gj-e-m,0.09999999999999998,0.4737447680116982
248,g-m-a,g-o_flt-m,g-o-m,0.04999999999999999,0.6666666666666666
249,g-m-a,g-o_flt-m,g-o-m,0.04999999999999999,0.6666666666666666
250,l-a-g-m-a,l-a-g-o_flt-m,l-a-g-o-m,0.16666666666666669,0.6666666666666666
251,g-m-a,g-e_flt-m,gj-e-m,0.038461538461538464,0.4737447680116982
